overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"02 14, 2005",A1ZPVW0WXNJ3YZ,B000261N76,Alex,"HOW FUN IS IT TO REALLY BE CATWOMAN?

Not fun at all when you can't play the game.

No.. seriously. You can't seem to play this game. The camera angles are unbelievably bad.. ( some of the worst ) and the gameplay is VERY repetative.. Also - When you kill a person, they just get a yellow glow around them. What is up with this game? EA you can do better, and  I hope you start showing it again..

This game is reccomended from me to be intended for a 5 - 7 year old girl with WAY too much free time.

The only good thing about this game? The graphics. That's it.

Believe me - It's not worth the GREEN.. SKIP IT

This was also voted the worst game of 2004 by Gamepro ( A video game magazine )

But in my opinion.. it's one of the worst ever.

P.S. Reminder: STAY AWAY!",I'm not overreacting at the lameness of this game,1108339200,3,,
1.0,False,"01 27, 2009",A3GX802A29RWDA,B000XJNTNS,Shanti,I am 18 years old I want to tell you about the stupid mariokart game. This game has nothing interesting at all. It is all only races and it is really boring. I played it only one time and got really nasheous. Now I still remember how bad the .game was,bad game,1233014400,2,,
1.0,False,"03 23, 2002",A2EXIALPK106OW,B00005N7YR,TG,"MOHAA is a game that is ideally suited for the person who gives no regard for even the slightest bit of realism and decent storyline. Essentially, this game is a slowed down Quake with Germans and Allies instead of Marines and monsters.... I knew this was not going to be a Ghost Recon, Operation: Flashpoint, or World War II Online, but its pathetic, and made me remember why I gave up console games so long ago. Not even a hint of realism here.
MOHAA makes me think of the movie Kellys Heroes where the Americans march right through German lines and single handedly kill hundreds of soldiers, only this isn't even comparable to the movie because its so bad!
OK, the game's graphics are really nice. Not on the scale of Ghost Recon, but still nice. Maybe if the soldiers weren't so dumb and you at least had a little control over them it would be slightly better, but you don't.
I really cannot recommend this game to anyone except hard-core teenage Quake players. I bet it will sell a ton, because the gaming community has very low standards for success at the moment. Ill stick with Ghost Recon, Flashpoint, and WWIIOL for now. Hopefully you will check those out if you want good, fun, realistic games.","Nice graphics, terrible gameplay",1016841600,2,{'Format:': ' Video Game'},
1.0,True,"01 5, 2017",A1H76HP3D76GZQ,B00UURTXK6,The Critic,"These suck if you have a 3DS XL. The cap is physically to small to cover the circle pad and it only says atop of. I even tried gently heating the material by submerging it in hot water like I would a piece of a vinyl model kit just to get it to stretch a little more... But there is simply not enough plastic to cover the pad. It's a great idea and the pads have great grip, and great feel however, if you play Monster Hunter and axtion games like that, you will constantly be pulling the grip off on accident while playing. If the cap was just a bit deeper, it would cover the entire pad, ""clip"" on and score a  10/10

Sadly, this product is a very expensive, fail.

Maybe the Japanese LL has a smaller circle pad, but I doubt that.",$10 down the toilet,1483574400,,,
1.0,False,"01 28, 2017",A217QJRR81PSOQ,B00KVRNIQU,Alex,"Will keep this review and every other review of this game at 1 star until the bugs are fixed. I cannot complete the game, quests will not complete and cut-scenes will not activate.",Game Breaking Bugs,1485561600,2,{'Format:': ' Video Game'},
1.0,False,"06 24, 2014",A6JUXS8X42JBL,B00FPQFXGK,Amazon Customer,"Ubisoft purposely gimped the PC version of the game. The official reason being  ""stability issues.""
However, a player has already modded, well not really modded, but by passed the downgrade resulting in a much prettier version of the game without few additional issues.

I advise not supporting this developer. The same thing is likely being done to The Division.",PC version Gimped,1403568000,,"{'Edition:': ' Deluxe', 'Platform:': ' PC Download'}",
1.0,True,"04 4, 2015",A1VGQVJVM6JJFU,B00005B4AS,Naturel59,Would not play on my PC because of outdated driver. Microsoft no longer supports this simulator or its driver. Nor does its manufacturer.,Not supported. Would not play on XP or Windows 7,1428105600,,{'Edition:': ' Standard'},
1.0,True,"12 29, 2017",A21E418UTTLZB4,B01GW8VG7O,J. Worosylo,Constant crashing and reboots every 5 minutes when playing anything.  It feelikes RROD all over again.  Id say wait for them to hammer out the issues first before dropping this much money on a paperweight.,Crashing and Freezing,1514505600,2,,
1.0,True,"10 29, 2015",A1JX1C4XXD0KP3,B00L6AVLB0,sang h gordon,"It should be called world of something else, that cant be said here. waist of time and money.",One Star,1446076800,,,
1.0,False,"03 23, 2012",A1JGSUX59ZTWYE,B004UDLRMS,Bear,"well let me start by saying that when i first started this game up i was so excited, but when i started playing OMG was i pissed off. The graphics where that of a xbox original, i am not joking they are some of the WORST graphics i have seen in a long time. NOT only are the graphics bad but the game play is not much better. Besides the fact that when you walk you look like you have something rather large in your butt making your player look VERY stiff, and has for the story, WAIT there was a story here??? well if there was anything to do with a story then i must have missed it, the so called story here is not at ALL good in fact it was just pain boring and luckily for me was VERY short beating it in under 2 hours. Ok now on to the level design, well lets just say that it was some of the worst i have seen. It goes like this, run into to dark boring room shoot a few bad guys or zombies then move to the next room that looks almost the same then repeat and do again for the next few hours. Ok so now i will move to the sound of the game, so the zombies when you kill them it sounds OK at best, but as for the sound of the guns WOW OMFG the worst EVER sounds weaker then a nerf guns!!!! the voice overs are very bad as well. Ok now onto the only kind of fun in this game, the only time i had ANY fun on this game was when i played with friends, but even still it was very boring. There is a ranking system that is mediocre at best, the more enemy's you kill the more XP you will get, and when you earn XP you can buy guns that won't really care to use because they all for the most part suck, or you can buy powers for the different players you can choose from. I would also like to add in the fact that when i you enemy it is almost completely random as to when they die, sometimes it will only take a few shoots to kill a simple solder and other time the same kind of enemy will take a clip and a half to kill, as well as that but the hit indication is very OFF. So i will wrap this up by saying this, DO NOT BUY THIS GAME, rent it first to see for yourself. i hope someone can find fun in this game, but for me i could not find much fun here.

I forgot to add in here that the AI IS THE WORST IN ANY GAME EVER. your team mates make no attempt whatsoever to avoid danger or even bother to shoot at the enemy, your friendly AI will spend the bulk of their time wasting ammo on a wall or ceiling if they are even shooting at ALL, the rest of the time they are just in your way block you in doorways or blocking your shots, never before have i ever seen AI worse than this. As for the enemy AI they are just as bad, half the time the enemy is just standing there as i am shooting them.

SO this game is pretty much a FAIL on every level, its a broken game, But lets hope that resident evil 6 will make up for this REALLY REALLY BAD GAME",last gen game,1332460800,6,{'Format:': ' Video Game'},
1.0,True,"08 4, 2010",A1U4EJY9JKHT4K,9867299434,I. A. Cerillo,"i wish i did not buy this thing.  it gets in the way all the time, the cables are everywhere and when i dropped it the thing cracked down the middle.  i recommend radioshack items","Audio Video RCA Composite AV Video Game Selector Switch for XBox, XBOX 360, PS1, PS2, PS3, Gamecube, Wii, DVD, VCR",1280880000,,,
1.0,False,"11 16, 2013",A3IVVNLOJ0KDO,B00BGAA29M,Doug,"Would be a five star rating if the ps4 worked.  I got the BLOD.  Sony drop the ball on this one.  If I can't get it fix within a week, I will be getting a xbox one.",Don't open!,1384560000,4,,
1.0,False,"12 5, 2008",A7ZGYETFJVAEH,B000WENLBY,Fenery,"Humm....where to start. I probably  can't add anything to the reviews other people have offered already, but I can add my experience for you to think about before you buy.  First of all without a hard drive you won't be able to use the xbox live store, cause you can't download anything from it.  So that could be a consideration for you if you want to play any online only games.  Also there are the dual pitfalls of the red rings and other problems.  Like mine.  I have had mine for only 1year, and it's never ever had any problems at all, until suddenly today.  No red rings, nothing like that, just freezing.  Can't play a game longer than 1min till it freezes.  I called and microsoft said that it wasn't a red ring issue so they won't pay for it, so if I want to fix it it will be at least $100 minimum.  Personally I  don't think it's worth it.  So think carefully. I took every precaution with mine and it still blew up.  There is I would say a 100% chance that this console will blow up on you in 2 years or less, resulting in a large repair cost.  Keep that in mind before you buy.  If you're cool with that then go for it, cause till it blows up on ya, it's awesome.  Really.",well it will have a problem eventually,1228435200,,{'Edition:': ' Arcade'},
1.0,False,"10 27, 2016",AK0EGD3QFRO6Q,B01EGHIAT0,christian253,Didn't want prime members getting 20% off season pass to on xbox.one some.bs.,One Star,1477526400,,"{'Edition:': ' Deluxe', 'Platform:': ' Xbox One'}",
1.0,False,"04 4, 2011",A2VLF9FE68LFX6,B002BS47YE,R. L. H.,"Attention PC gamers:  Just know that anything developed for both PCs and Consoles these days means that the PC version is dumbed down beyond belief to cater to the lowest common denominators - vastly inferior consoles.

The original Crysis not only made console gamers drool, it also made less-equipped PC gamers drool as well.  It was pure frickin' magic.  It set the standard, and 4 years later, continues to do so.  It's bad enough that the United States is in freefall at the hands of dimwitted saboteurs, but does this have to happen to PC gaming too?

Crysis 2 is not only a disaster, but was a predictable disaster.  I saw this coming a mile away because it's nothing new in the industry.  Any game previously released for the PC that is now finding its way to the console means the end of that PC game series (Call Of Duty anyone?).

CryTek, you blew it.  Badly.  Hang your heads in shame.",Nope.,1301875200,10,{'Format:': ' Video Game'},
1.0,True,"01 7, 2014",A3TN98V3U7VR44,B0098QPPL6,Donald Barnhouse,Tried and tried to get the game to work without success.  Won't try another EA game from now on.  Very disappointed with this product.,I couldn't make it work!,1389052800,,"{'Edition:': ' Premium', 'Platform:': ' PC'}",
1.0,False,"10 23, 2008",AV94X3NN0VKYX,B00140P9BA,Vensik,"Here is my review on Far Cry 2.  It has the same restrictive DRM structure and this game is just as much a paperweight in a few years.

""This is a review of the Product. Not the game only, but the product itself listed above.

The product installs a great game. That being said, it also installs spyware/malware onto my computer. This is the same type of software that I have paid programs to remove for years. Why would a user want to install it deliberately onto their machine?

If you buy this product, know that one day it will cease to work. I don't care if it is 6 months from now, or 10 years from now. You are not buying an actual product, you are renting it until you change your computer a total of 3 times. Considering I have 6 computers on my network alone, and I use at least 3 of those as gaming rigs, I know this would be relatively quick for me. Either way, you will most likely not be able to dig this out of the closet in 10 years and nostalgically play. You are buying a self destructing product.

The DRM on this game does not do anything to limit piracy as the company says. Spore itself was already downloaded DRM free 100k some-odd times before the game was even released. SecuROM is not a DRM scheme, as it does nothing to prevent piracy. It does everything to limit the value of the product to the legit customer and prevent them from selling it to a second party. This has been proven an illegal practice in multiple lawsuits throughout the years, however they continue to install the software on end users computers without their consent.

I am not a pirate. If I was a pirate, I would probably already be happily playing this game instead of being here writing this. Again, no pirates need to complain about DRM. They are usually busy playing the game free. ""","Well, another DRM failure from them",1224720000,5,{'Format:': ' DVD-ROM'},
1.0,True,"02 1, 2016",A6IHRDQ27JPZA,B000HKMLB4,Guinis Lornet,was fun in the day,One Star,1454284800,,{'Edition:': ' Game'},
1.0,True,"03 3, 2015",AGK9YFQMOA4AU,B0017ZIIK6,Juan Fernando Martinez,Well i bougth this one more because of the nostalgy i got than any other thing,One Star,1425340800,,{'Format:': ' Video Game'},
1.0,True,"12 3, 2016",A284357NITN97D,B00YT168WA,5cents family,"Came packaged nice and looked good no marks and such.
Plugged it in and it turned on and shut off.  It would randomly turn on and then the lights would flash and it shut back off.  Did this constantly  Had to return it",Looked ok,1480723200,3,,
1.0,False,"04 18, 2016",A1YKYSX3LCURPL,B0009PM8V0,Squatch,"It had been four years since I last gave a thought to playing a game on my gamecube. Those were different days; before $80 starting prices and fifteen different pre-order editions. I had hoped that a glimpse into these long-passed days of yore would bring me some sort of teary nostalgia for the halcyonic days of my tender youth. I chose this. Now, I am a colder and wiser man
 To say this game is bad would be akin to saying that a land war in Russia in Winter is a ""bad idea"". It utterly fails to encapsulate the monstrous entirety of the situation. We also find ourselves in the rocket shoes of a character so trite, every 13 year old boy has had at least one OC identical to this.
The gameplay is similar to having a fever dream after taking a solid hit of LSD. The Kafkaesque nightmare doesn't end until you choose between one of the three linear morality-based missions. Ooh, how absolutist of you, Sonic Team.
The gunplay reminds me of when I took my sister's Polly Pockets and taped G.I. Joe guns to their hands. And I honestly need say no more.
So, if your vacuous lifestyle demands you buy this game: go for it. But thou art warned- even among the garbage that is everything Sonic, this is truly fecal.",An Experience in Idiocy,1460937600,,{'Platform:': ' GameCube'},
1.0,True,"11 13, 2015",A2IWMYRCCVG420,B0040546HY,Kimberly Ann Villalobos,"this cant be an official sony item
it doesn't hold charge dies as soon as its unplugged
please do not buy just go to Walmart or best buy or elsewhere to get a knock off that works or an actual sony brand one that works this is my second one off of here and both died completely and now won't turn on

the light shined through the pink
and I compared it to my black controller that came with ps3 and it super light  that doesn't seem right I even sent it to sony to get fixed few months back or soand it worked for a few weeks or so and now its gone again",not even worth the one star,1447372800,,,
1.0,False,"08 20, 2015",A31GWUD5AUE54T,B00KSQACMM,Jose L. Rivera,DO NOT BUY THESE HEADSETS. THEY BREAK FROM THE LEFT SIDE WHERE THE MIC LOCATED THE PLASTIC IS OF A VERY THIN AND CHEAP QUALITY !!!  MY HEADPHONE WERE WELL TAKEN CARE OF FOR THE 11 MONTHS. AFTER 11 MONTHS THEY BROKE FOR NO APPARENT REASON. I'M 52 YEATS AND I TAKE VERY GOOD CARE OF MY HEADSET CAUSE I PAID 134.00 I STILL HAVE THE PLASTIC COVERS THAT IT COMES WITH ON THE HEADPHONES. IF YOU CHECK OTHER REVIEWS YOU'LL SEE THAT THIS A COMMEND PROBLEM !!! I BELIEVE THIS IS A MANUFACTURE DEFECT THIS COMPANY SHOULD EITHER FIX IT THIS FOR ALL THE LOYAL COSTUMER OR REPLACE THEM WITH A NEW ONE. I'VE CALL AND LEFT MESSAGES BUT THEY DON'T CALL ME BACK !!! I'M SO DISGUSTED CAUSE I'V BOUGHT THREE PAIRS FOR MY FAMILY ALSO !!!,I'M 52 YEATS AND I TAKE VERY GOOD CARE OF MY HEADSET CAUSE I PAID 134,1440028800,,{'Format:': ' Video Game'},
1.0,False,"01 4, 2014",A3SGRYIICHGMX,B00BI9ME4M,Jack Turner,"I will start off with saying that I don't have many add-ons for my PS3; just a standard controller. But, I have always wanted something to charge that controller without having to have my PS3 powered up. Most were more expensive than I was willing to pay, so when I saw this item, I thought I would give it a shot. The first thing I noticed, when plugging the device into the wall, was that there was nothing to indicate that it was recieving power. Just to make sure that it wasn't a problem with the outlet, I changed the device to another outlet that had been used with other electronics. I plugged in the device, but still received no indication that the controller was getting powered. I left the item overnight, and returned in the morning; when I powered up the PS3, it still told me my controller needed a charge.

So, there are two definite negatives with this device:

It doesn't have any way of letting you know your controllers are getting charged.
It feels pretty flimsy, so it could have easily have been damanged in shippment.

I don't feel like I can recommend this device; for now, I will keep charging using my PS3 fully powered.",Not Sure it Works,1388793600,,,
1.0,True,"04 17, 2012",A2GWAJF0VK59PB,B0050GGX28,JbBeatle,"Hands down the absolute worst baseball game i ever played on any system....period. Real Sports Baseball on Atari ATLEAST felt like there was some SPEED on the ball.  This game idea had tons of potential but I'd fire everyone involved.  The pitching was my BIGGEST gripe as there's not only no skill involved.....no big power ups.....no ""flaming"" sinkers, ice balls, water canons....none of the cool absurd things I expected from Nicktoons.  Think I will send it to the guy who does Will It Blend?",MLB let them use the franchise???,1334620800,2,{'Platform:': ' Nintendo DS'},
1.0,False,"01 21, 2013",A67E13E1BSNBN,B006L16PPG,B. Brierly,"I thought this would be a good case for my 3DS games.  However, many of the slots are too tight to pop the games into. I know they have to be snug but the one I bought can't be totally utilized because of problem.",slots not big enough,1358726400,,{'Color:': ' Red'},
1.0,False,"12 3, 2012",A3EBXFGN31IYAQ,B000P46NMK,James Fonda,"Despite having a story that I would have enjoyed to finish and an environment that seems rich and greatly detailed, the controls and movement and everything making it a game, need more work than I have seen in a long time. Total lack of intuitiveness, the require just to shoot your gun once requires so much more practice than should ever be allowed in a game",Horribly difficult to control and even worse for first time players,1354492800,15,{'Format:': ' Video Game'},
1.0,True,"11 28, 2011",A1TBN1AZ4RRBRR,B0053BQU4G,B. Hobson,"RTW is absolutely worthless and the Universe mode is trash. Whatever happened to being able to create a character and taking him through a franchise mode?! The CPU counters everything and it just is a poor excuse for a game. Do not buy, rent first. You are warned.",Horrible Game,1322438400,4,{'Platform:': ' PlayStation 3'},
1.0,False,"02 5, 2002",ASMR5IORRX117,B00005NZ1W,caleb,"This game was an utter disappointment.  The music is absolutely terrible (possibly the worst of any video game).  And the graphics are retro looking.  Come on, with the power that the Xbox has I thought the graphics would be better.  The game is extremely difficult and is dull and lacks excitement.  The missions are all basically the same as eachother, which is to eliminate the enemy planes.  Don't run out and buy.  Rent it if you feel like it's something you'd like, but don't buy it unless you've rented and liked it.  I returned after the first day of having it.  My suggestion would be to buy a game worth the money, like Halo or Max Payne or anything but this.",Don't waste your money!,1012867200,2,,
1.0,True,"08 22, 2017",A1YRQWTM4K4GNB,B00E4MQODC,Corbin,I'll never buy another Logitech product ever again.,I'll never buy another Logitech product ever again.,1503360000,,,
1.0,False,"10 21, 2013",A3HFRY6VWFPBYG,B000Z9A95M,Chris,"This game is not fun, and I have trouble believing that anyone who actually played it would give it a good review. The 'gameplay' consists of a bug named Issun telling you, and often showing you, exactly what to do. Then there is a great deal of dialogue, and then the bug tells/shows you what to do next, and it all repeats. The graphics and sound are decent, but nothing you can't find in any number of graphic novels or games. I think that there is a consensus that one is supposed to say good things about this game because it is very artsy looking and off the beaten track. The 'gameplay' itself is garbage though; I wish I could get my money back, and I got it used for $9.99.",Don't believe the hype,1382313600,,{'Platform:': ' Nintendo Wii'},
1.0,False,"12 30, 2016",A1YOASL8Y2GKTS,B01EZAA2ZI,Nick,Why would anyone give this piece of crap more than 2 stars? It's worth $20. It's a pile of junk. Another copy of recycled future warfare BS that was crapped out of EA with minimal time and effort. When are we going back to WW2?!?!?!,I'd rather pay for a lap dance at a strip club than spend my money on this trash.,1483056000,,"{'Edition:': ' Legacy', 'Platform:': ' PlayStation 4'}",
1.0,False,"04 12, 2014",A1D9V0ZTZHDZT9,B000VRCNLG,William C. Hollingsworth,it does not work with windows correctly. I tried everything and still did not get it to work right. bad game.,bad,1397260800,,,
1.0,True,"02 28, 2016",A29243KU397IYI,B0166QDJZE,jlk,"If you liked Far Cry 4 (I rated it a 5-star) then you are likely to find this game ultra-boring.

I'm not sure what the developers were thinking...",Painfully Boring...,1456617600,,{'Format:': ' Video Game'},
1.0,True,"10 5, 2016",A1OMFWV9NZ7NIZ,B005DVAB1E,Christian Buehler,Achievement hunters only need apply.,One Star,1475625600,,{'Platform:': ' Xbox 360'},
1.0,True,"08 11, 2014",A1FC3IWMZW4BSO,B00GBCLG0E,MetalCore,Included Game is no good.,Included Game is no Good.,1407715200,,,
1.0,False,"01 11, 2008",A175404JI34KSG,B000WQZ7WS,L. Cramer,This game would be a lot better if it were campatible with the PS3 Wireless Les Paul controller that comes with the Guitar hero 3 game.  Very Disappointing.,PS3 Players Beware,1200009600,12,,
1.0,True,"02 13, 2017",A3KSCVYT8T93J3,B012PRO97A,V Guariglia,Waste of $5 that I paid for it. I'm a fan of the anime but this game is just awful for consoles.,Maybe if you really like the characters and story you could play this.,1486944000,,,
